frame,current_count,total_unique
1160,19,37
1161,19,37
1162,19,37
1163,19,37
1164,19,37
1165,19,37
1166,19,37
1167,19,37
1168,19,37
1169,19,37
1170,19,37
1171,19,37
1172,19,37
1173,19,37
1174,19,37
1175,19,37
1176,19,37
1177,19,37
1178,19,37
1179,19,37
1180,19,37
1181,19,37
1182,19,37
1183,19,37
1184,19,37
1185,19,37
1186,19,37
1187,19,37
1188,19,37
1189,19,37
1190,19,37
1191,19,37
1192,19,37
1193,19,37
1194,19,37
1195,19,37
1196,19,37
1197,19,37
1198,19,37
1199,19,37
1200,18,37
1201,18,37
1202,18,37
1203,18,37
1204,18,37
1205,18,37
1206,18,37
1207,18,37
1208,18,37
1209,17,37
1210,18,37
1211,17,37
1212,18,37
1213,17,37
1214,18,37
1215,17,37
1216,17,37
1217,17,37
1218,17,37
1219,17,37
1220,17,37
1221,17,37
1222,17,37
1223,17,37
1224,17,37
1225,17,37
1226,17,37
1227,17,37
1228,17,37
1229,17,37
1230,17,37
1231,17,37
1232,17,37
1233,17,37
1234,17,37
1235,17,37
1236,17,37
1237,17,37
1238,17,37
1239,17,37
1240,17,37
1241,17,37
1242,17,37
1243,17,37
1244,17,37
1245,18,37
1246,17,37
1247,17,37
1248,16,37
1249,16,37
1250,16,37
1251,16,37
1252,16,37
1253,16,37
1254,16,37
1255,16,37
1256,17,37
1257,16,37
1258,16,37
1259,16,37
1260,17,37
1261,17,37
1262,17,37
1263,17,37
1264,17,37
1265,17,37
1266,16,37
1267,16,37
1268,16,37
1269,16,37
1270,16,37
1271,16,37
1272,16,37
1273,16,37
1274,16,37
1275,16,37
1276,16,37
1277,16,37
1278,16,37
1279,16,37
1280,16,37
1281,16,37
1282,16,37
1283,16,37
1284,16,37
1285,16,37
1286,16,37
1287,16,37
1288,16,37
1289,16,37
1290,16,37
1291,16,37
1292,16,37
1293,16,37
1294,16,37
1295,16,37
1296,16,37
1297,16,37
1298,16,37
1299,16,37
1300,16,37
1301,16,37
1302,16,37
1303,16,37
1304,16,37
1305,16,37
1306,16,37
1307,16,37
1308,16,37
1309,16,37
1310,16,37
1311,16,37
1312,16,37
1313,16,37
1314,15,37
1315,16,37
1316,16,37
1317,16,37
1318,16,37
1319,16,37
1320,15,37
1321,15,37
1322,15,37
1323,15,37
1324,15,37
1325,15,37
1326,15,37
1327,15,37
1328,15,37
1329,15,37
1330,15,37
1331,15,37
1332,15,37
1333,16,38
1334,16,38
1335,16,38
1336,16,38
1337,16,38
1338,16,38
1339,16,38
1340,16,38
1341,16,38
1342,16,38
1343,16,38
1344,16,38
1345,16,38
1346,16,38
1347,16,38
1348,16,38
1349,16,38
1350,16,38
1351,16,38
1352,16,38
1353,16,38
1354,16,38
1355,16,38
1356,16,38
1357,16,38
1358,16,38
1359,16,38
1360,16,38
1361,16,38
1362,16,38
1363,16,38
1364,16,38
1365,16,38
1366,16,38
1367,16,38
1368,16,38
1369,16,38
1370,16,38
1371,16,38
1372,16,38
1373,16,38
1374,16,38
1375,16,38
1376,16,38
1377,16,38
1378,16,38
1379,16,38
1380,16,38
1381,16,38
1382,16,38
1383,16,38
1384,16,38
1385,16,38
1386,16,38
1387,16,38
1388,16,38
1389,16,38
1390,16,38
1391,16,38
1392,16,38
1393,16,38
1394,16,38
1395,16,38
1396,16,38
1397,16,38
1398,16,38
1399,16,38
1400,16,38
1401,16,38
1402,16,38
1403,16,38
1404,16,38
1405,16,38
1406,16,38
1407,16,38
1408,16,38
1409,16,38
1410,16,38
1411,16,38
1412,16,38
1413,16,38
1414,16,38
1415,16,38
1416,16,38
1417,16,38
1418,16,38
1419,16,38
1420,16,38
1421,16,38
1422,16,38
1423,16,38
1424,16,38
1425,16,38
1426,16,38
1427,16,38
1428,16,38
1429,16,38
1430,16,38
1431,16,38
1432,16,38
1433,16,38
1434,16,38
1435,16,38
1436,16,38
1437,16,38
1438,16,38
1439,16,38
1440,16,38
1441,16,38
1442,16,38
1443,16,38
1444,16,38
1445,16,38
1446,16,38
1447,16,38
1448,16,38
1449,16,38
